n,k,tasks,robot_locations, Partition Algorithm timespan, Optimal timespan,PA runtime, Gurobi runtime
15,2,"[(0, 3)]","(0, 1)", 3 ,3,0.0004444122314453125,0.33771777153015137
15,2,"[(0, 3)]","(4, 5)", 7 ,7,0.00026988983154296875,0.23480987548828125
15,2,"[(0, 3)]","(11, 13)", 14 ,14,0.000278472900390625,0.12965154647827148
15,3,"[(0, 3)]","(0, 4, 14)", 3 ,3,0.0003135204315185547,0.31223154067993164
15,3,"[(0, 3)]","(1, 2, 7)", 4 ,4,0.0003063678741455078,0.3596994876861572
15,3,"[(0, 3)]","(1, 7, 12)", 4 ,4,0.00030422210693359375,0.31384992599487305
15,3,"[(0, 3)]","(2, 5, 11)", 5 ,5,0.0003211498260498047,0.6035130023956299
15,3,"[(0, 3)]","(3, 5, 6)", 6 ,6,0.00030231475830078125,0.5216732025146484
15,3,"[(0, 3)]","(4, 5, 11)", 7 ,7,0.0002999305725097656,0.6266663074493408
15,3,"[(0, 3)]","(5, 7, 10)", 8 ,8,0.00030040740966796875,0.669398307800293
15,3,"[(0, 3)]","(6, 11, 14)", 9 ,9,0.00026297569274902344,1.3121953010559082
15,3,"[(0, 3)]","(10, 11, 12)", 13 ,13,0.00025653839111328125,0.5407440662384033
15,4,"[(0, 3)]","(0, 1, 5, 13)", 3 ,3,0.0002944469451904297,0.6300253868103027
15,4,"[(0, 3)]","(0, 2, 4, 6)", 3 ,3,0.0002868175506591797,0.6106507778167725
15,4,"[(0, 3)]","(0, 2, 11, 14)", 3 ,3,0.0002810955047607422,2.218925714492798
15,4,"[(0, 3)]","(0, 3, 10, 12)", 3 ,3,0.0003592967987060547,0.6501414775848389
15,4,"[(0, 3)]","(0, 4, 11, 14)", 3 ,3,0.0003216266632080078,1.4661822319030762
15,4,"[(0, 3)]","(0, 6, 8, 12)", 3 ,3,0.000286102294921875,0.640308141708374
15,4,"[(0, 3)]","(0, 8, 11, 14)", 3 ,3,0.0003235340118408203,0.6435246467590332
15,4,"[(0, 3)]","(1, 2, 5, 11)", 4 ,4,0.00032448768615722656,0.6763894557952881
15,4,"[(0, 3)]","(1, 3, 5, 6)", 4 ,4,0.00028634071350097656,0.6297435760498047
15,4,"[(0, 3)]","(1, 4, 5, 11)", 4 ,4,0.00028634071350097656,0.619835615158081
15,4,"[(0, 3)]","(1, 5, 7, 10)", 4 ,4,0.00031375885009765625,0.6065094470977783
15,4,"[(0, 3)]","(1, 6, 11, 14)", 4 ,4,0.0003619194030761719,0.609194278717041
15,4,"[(0, 3)]","(1, 10, 11, 12)", 4 ,4,0.0002827644348144531,0.6583669185638428
15,4,"[(0, 3)]","(2, 3, 9, 10)", 5 ,5,0.0002644062042236328,1.4767205715179443
15,4,"[(0, 3)]","(2, 4, 10, 11)", 5 ,5,0.0002892017364501953,1.8676867485046387
