n,k,tasks,robot_locations, Partition Algorithm timespan, Optimal timespan,PA runtime, Gurobi runtime
10,2,"[(0, 1), (1, 1), (2, 1)]","(0, 1)", 3 ,3,0.00047779083251953125,0.19597363471984863
10,2,"[(0, 1), (1, 1), (7, 1)]","(0, 1)", 7 ,7,0.00036978721618652344,0.13282561302185059
10,2,"[(0, 1), (2, 1), (5, 1)]","(0, 1)", 5 ,5,0.0005559921264648438,0.2096865177154541
10,2,"[(0, 1), (3, 1), (4, 1)]","(0, 1)", 5 ,5,0.00038552284240722656,0.15182042121887207
10,2,"[(0, 1), (3, 1), (9, 1)]","(0, 1)", 9 ,9,0.00042510032653808594,0.14136791229248047
10,2,"[(0, 1), (4, 1), (9, 1)]","(0, 1)", 9 ,9,0.00038695335388183594,0.14346742630004883
10,2,"[(0, 1), (6, 1), (7, 1)]","(0, 1)", 8 ,8,0.000324249267578125,0.13505029678344727
10,2,"[(0, 1), (8, 1), (9, 1)]","(0, 1)", 10 ,10,0.0003666877746582031,0.15081000328063965
10,2,"[(1, 1), (2, 1), (7, 1)]","(0, 1)", 7 ,7,0.0003936290740966797,0.15579819679260254
10,2,"[(1, 1), (3, 1), (6, 1)]","(0, 1)", 6 ,6,0.00040650367736816406,0.22866272926330566
10,2,"[(1, 1), (4, 1), (6, 1)]","(0, 1)", 6 ,6,0.0004343986511230469,0.12157487869262695
10,2,"[(1, 1), (5, 1), (7, 1)]","(0, 1)", 7 ,7,0.0003933906555175781,0.1493058204650879
10,2,"[(1, 1), (6, 1), (9, 1)]","(0, 1)", 9 ,9,0.000476837158203125,0.15250396728515625
10,2,"[(2, 1), (3, 1), (5, 1)]","(0, 1)", 5 ,5,0.0003802776336669922,0.15557384490966797
10,2,"[(2, 1), (4, 1), (5, 1)]","(0, 1)", 6 ,6,0.0003848075866699219,0.26257944107055664
10,2,"[(2, 1), (5, 1), (6, 1)]","(0, 1)", 7 ,7,0.00031757354736328125,0.24930953979492188
10,2,"[(2, 1), (6, 1), (8, 1)]","(0, 1)", 8 ,8,0.0003948211669921875,0.1429460048675537
10,2,"[(3, 1), (4, 1), (5, 1)]","(0, 1)", 6 ,6,0.00041294097900390625,0.1270313262939453
10,2,"[(3, 1), (5, 1), (6, 1)]","(0, 1)", 7 ,7,0.00039958953857421875,0.14841675758361816
10,2,"[(3, 1), (6, 1), (8, 1)]","(0, 1)", 8 ,8,0.0004534721374511719,0.15779352188110352
10,2,"[(4, 1), (5, 1), (6, 1)]","(0, 1)", 7 ,7,0.0004413127899169922,0.16858291625976562
