n,k,tasks,robot_locations, Partition Algorithm timespan, Optimal timespan,PA runtime, Gurobi runtime
3,2,"[(0, 3)]","(0, 1)", 3 ,3,0.0005273818969726562,0.06597614288330078
3,2,"[(0, 3)]","(0, 2)", 3 ,3,0.00038552284240722656,0.03450345993041992
3,2,"[(0, 3)]","(1, 2)", 4 ,4,0.00031256675720214844,0.014137744903564453
3,2,"[(1, 3)]","(0, 1)", 4 ,3,0.00033974647521972656,0.04299187660217285
3,2,"[(1, 3)]","(0, 2)", 4 ,4,0.0003464221954345703,0.018492698669433594
3,2,"[(1, 3)]","(1, 2)", 3 ,3,0.00030040740966796875,0.014246702194213867
3,2,"[(2, 3)]","(0, 1)", 5 ,4,0.0003292560577392578,0.0157773494720459
3,2,"[(2, 3)]","(0, 2)", 5 ,3,0.000507354736328125,0.013969898223876953
3,2,"[(2, 3)]","(1, 2)", 4 ,3,0.0004627704620361328,0.017785310745239258
3,2,"[(0, 2), (1, 1)]","(0, 1)", 2 ,2,0.00035881996154785156,0.016780853271484375
3,2,"[(0, 2), (1, 1)]","(0, 2)", 2 ,2,0.00046515464782714844,0.0181577205657959
3,2,"[(0, 2), (1, 1)]","(1, 2)", 3 ,3,0.000514984130859375,0.01739954948425293
3,2,"[(0, 2), (2, 1)]","(0, 1)", 2 ,2,0.00037550926208496094,0.016498804092407227
3,2,"[(0, 2), (2, 1)]","(0, 2)", 2 ,2,0.0004901885986328125,0.018671751022338867
3,2,"[(0, 2), (2, 1)]","(1, 2)", 3 ,3,0.00033473968505859375,0.017502546310424805
3,2,"[(1, 2), (2, 1)]","(0, 1)", 3 ,3,0.0003581047058105469,0.018895387649536133
3,2,"[(1, 2), (2, 1)]","(0, 2)", 3 ,3,0.0005147457122802734,0.020567893981933594
3,2,"[(1, 2), (2, 1)]","(1, 2)", 2 ,2,0.0005259513854980469,0.020020008087158203
3,2,"[(0, 1), (1, 1), (2, 1)]","(0, 1)", 3 ,3,0.00042438507080078125,0.022369384765625
3,2,"[(0, 1), (1, 1), (2, 1)]","(0, 2)", 3 ,3,0.0004494190216064453,0.025073766708374023
3,2,"[(0, 1), (1, 1), (2, 1)]","(1, 2)", 3 ,3,0.0007379055023193359,0.03791189193725586
