n,k,tasks,robot_locations, Partition Algorithm timespan, Optimal timespan,PA runtime, Gurobi runtime
8,2,"[(0, 1), (1, 1), (2, 1)]","(0, 1)", 3 ,3,0.0004968643188476562,0.2967514991760254
8,3,"[(0, 1), (6, 1), (7, 1)]","(4, 5, 6)", 5 ,5,0.0004341602325439453,0.2474515438079834
8,5,"[(2, 1), (4, 1), (5, 1)]","(0, 1, 2, 4, 7)", 3 ,3,0.0007271766662597656,0.492891788482666
8,2,"[(0, 2), (1, 1), (2, 1)]","(0, 1)", 3 ,3,0.0004143714904785156,0.1401679515838623
8,3,"[(0, 2), (6, 1), (7, 1)]","(4, 5, 6)", 6 ,6,0.0005154609680175781,0.8973944187164307
8,5,"[(2, 2), (4, 1), (5, 1)]","(0, 1, 2, 4, 7)", 4 ,3,0.0006437301635742188,2.6928656101226807
8,2,"[(0, 1), (1, 1), (2, 1), (3, 1)]","(0, 1)", 4 ,4,0.0004601478576660156,0.14959049224853516
8,3,"[(0, 1), (2, 1), (4, 1), (6, 1)]","(4, 5, 6)", 5 ,5,0.0006456375122070312,0.5389785766601562
8,5,"[(1, 1), (2, 1), (4, 1), (6, 1)]","(0, 1, 2, 4, 7)", 2 ,2,0.0010504722595214844,2.458054542541504
8,2,"[(2, 1), (4, 1), (5, 1), (6, 1)]","(0, 1)", 7 ,7,0.0007433891296386719,0.2254955768585205
8,3,"[(0, 1), (3, 2), (4, 1)]","(4, 5, 6)", 5 ,5,0.0004990100860595703,0.34864163398742676
8,5,"[(1, 1), (4, 2), (6, 1)]","(0, 1, 2, 4, 7)", 2 ,2,0.0006649494171142578,1.5672504901885986
8,2,"[(4, 1), (5, 2), (6, 1)]","(0, 1)", 8 ,8,0.0003476142883300781,0.15303874015808105
8,3,"[(0, 1), (4, 1), (6, 2)]","(4, 5, 6)", 5 ,5,0.0006084442138671875,0.7204208374023438
8,5,"[(2, 1), (3, 1), (4, 2)]","(0, 1, 2, 4, 7)", 3 ,2,0.0006415843963623047,1.4115707874298096
8,2,"[(0, 3), (1, 1), (2, 1)]","(0, 1)", 3 ,3,0.00038695335388183594,0.14052581787109375
8,3,"[(0, 3), (6, 1), (7, 1)]","(4, 5, 6)", 7 ,7,0.0004699230194091797,1.199892520904541
8,5,"[(2, 3), (4, 1), (5, 1)]","(0, 1, 2, 4, 7)", 5 ,3,0.0006239414215087891,6.2179529666900635
8,2,"[(0, 2), (1, 1), (2, 1), (3, 1)]","(0, 1)", 4 ,4,0.0005524158477783203,0.14950823783874512
8,3,"[(0, 2), (2, 1), (4, 1), (6, 1)]","(4, 5, 6)", 6 ,6,0.0006115436553955078,0.32329607009887695
8,5,"[(1, 2), (2, 1), (4, 1), (6, 1)]","(0, 1, 2, 4, 7)", 3 ,2,0.0009057521820068359,0.6097981929779053
8,2,"[(2, 2), (4, 1), (5, 1), (6, 1)]","(0, 1)", 7 ,7,0.0004391670227050781,0.18667840957641602
8,3,"[(0, 2), (3, 2), (4, 1)]","(4, 5, 6)", 6 ,6,0.0005791187286376953,0.5520634651184082
8,5,"[(1, 2), (4, 2), (6, 1)]","(0, 1, 2, 4, 7)", 3 ,2,0.0007107257843017578,2.1917195320129395
8,2,"[(4, 2), (5, 2), (6, 1)]","(0, 1)", 8 ,8,0.0004372596740722656,0.16196084022521973
8,3,"[(0, 2), (4, 1), (6, 2)]","(4, 5, 6)", 6 ,6,0.0006814002990722656,0.3738398551940918
8,5,"[(2, 2), (3, 1), (4, 2)]","(0, 1, 2, 4, 7)", 4 ,3,0.0006794929504394531,2.738832950592041
8,2,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]","(0, 1)", 5 ,5,0.00067901611328125,0.2789289951324463
8,3,"[(0, 1), (2, 1), (3, 1), (4, 1), (5, 1)]","(4, 5, 6)", 5 ,5,0.0009050369262695312,0.7076585292816162
8,5,"[(1, 1), (2, 1), (3, 1), (6, 1), (7, 1)]","(0, 1, 2, 4, 7)", 3 ,3,0.0012106895446777344,3.209263324737549
8,2,"[(0, 1), (1, 2), (3, 1), (4, 1)]","(0, 1)", 5 ,5,0.0005335807800292969,0.22022771835327148
8,3,"[(0, 1), (3, 2), (4, 1), (5, 1)]","(4, 5, 6)", 5 ,5,0.0005707740783691406,0.3229837417602539
8,5,"[(1, 1), (3, 2), (4, 1), (5, 1)]","(0, 1, 2, 4, 7)", 3 ,3,0.0008118152618408203,5.08869481086731
8,2,"[(3, 1), (4, 2), (5, 1), (7, 1)]","(0, 1)", 8 ,8,0.0004942417144775391,0.2723379135131836
8,3,"[(0, 1), (2, 1), (3, 2), (5, 1)]","(4, 5, 6)", 6 ,6,0.0005755424499511719,0.6560072898864746
8,5,"[(1, 1), (2, 1), (3, 2), (5, 1)]","(0, 1, 2, 4, 7)", 3 ,3,0.0008535385131835938,0.5721936225891113
8,2,"[(2, 1), (3, 1), (4, 2), (7, 1)]","(0, 1)", 8 ,8,0.00046181678771972656,0.14930438995361328
8,3,"[(0, 1), (1, 1), (3, 1), (6, 2)]","(4, 5, 6)", 6 ,6,0.0005731582641601562,0.796442985534668
8,5,"[(0, 1), (3, 1), (4, 1), (7, 2)]","(0, 1, 2, 4, 7)", 2 ,2,0.0008018016815185547,2.2573728561401367
8,2,"[(1, 1), (3, 1), (5, 1), (6, 2)]","(0, 1)", 8 ,8,0.00044727325439453125,0.15973854064941406
8,3,"[(3, 1), (5, 1), (6, 1), (7, 2)]","(4, 5, 6)", 3 ,3,0.0006339550018310547,0.3214411735534668
8,5,"[(0, 1), (5, 3), (6, 1)]","(0, 1, 2, 4, 7)", 4 ,4,0.0008254051208496094,2.05185866355896
8,2,"[(2, 1), (3, 3), (7, 1)]","(0, 1)", 7 ,7,0.0006146430969238281,0.1475512981414795
8,3,"[(0, 1), (1, 2), (5, 2)]","(4, 5, 6)", 6 ,6,0.00052642822265625,0.33323025703430176
8,5,"[(1, 1), (2, 2), (5, 2)]","(0, 1, 2, 4, 7)", 3 ,3,0.0006773471832275391,1.9758517742156982
8,2,"[(2, 1), (5, 2), (7, 2)]","(0, 1)", 8 ,8,0.0005145072937011719,0.227614164352417
8,3,"[(0, 1), (2, 1), (5, 3)]","(4, 5, 6)", 5 ,5,0.0006058216094970703,0.3257734775543213
8,5,"[(1, 1), (3, 1), (6, 3)]","(0, 1, 2, 4, 7)", 4 ,4,0.0006585121154785156,0.5525708198547363
8,2,"[(3, 1), (5, 1), (6, 3)]","(0, 1)", 8 ,8,0.00045013427734375,0.15955352783203125
8,2,"[(0, 4), (1, 1), (2, 1)]","(0, 1)", 4 ,4,0.0004355907440185547,0.15601778030395508
8,3,"[(0, 4), (6, 1), (7, 1)]","(4, 5, 6)", 8 ,8,0.0005347728729248047,0.5882372856140137
8,5,"[(2, 4), (4, 1), (5, 1)]","(0, 1, 2, 4, 7)", 6 ,4,0.0006248950958251953,4.479083061218262
8,2,"[(0, 3), (1, 1), (2, 1), (3, 1)]","(0, 1)", 5 ,5,0.00045871734619140625,0.19642043113708496
8,3,"[(0, 3), (2, 1), (4, 1), (6, 1)]","(4, 5, 6)", 7 ,7,0.0005741119384765625,0.4048171043395996
8,5,"[(1, 3), (2, 1), (4, 1), (6, 1)]","(0, 1, 2, 4, 7)", 4 ,3,0.0009799003601074219,5.632413148880005
8,2,"[(2, 3), (4, 1), (5, 1), (6, 1)]","(0, 1)", 8 ,8,0.0004355907440185547,0.2536776065826416
8,3,"[(0, 3), (3, 2), (4, 1)]","(4, 5, 6)", 7 ,7,0.00042700767517089844,0.7348337173461914
8,5,"[(1, 3), (4, 2), (6, 1)]","(0, 1, 2, 4, 7)", 4 ,3,0.0005779266357421875,2.6856911182403564
8,2,"[(4, 3), (5, 2), (6, 1)]","(0, 1)", 8 ,8,0.0005540847778320312,0.1821911334991455
8,3,"[(0, 3), (4, 1), (6, 2)]","(4, 5, 6)", 7 ,7,0.00041866302490234375,0.7147526741027832
8,5,"[(2, 3), (3, 1), (4, 2)]","(0, 1, 2, 4, 7)", 5 ,4,0.0009071826934814453,1.750187635421753
8,2,"[(0, 2), (1, 1), (2, 1), (3, 1), (4, 1)]","(0, 1)", 6 ,6,0.0005345344543457031,0.40116381645202637
8,3,"[(0, 2), (2, 1), (3, 1), (4, 1), (5, 1)]","(4, 5, 6)", 6 ,6,0.0006892681121826172,0.6163084506988525
8,5,"[(1, 2), (2, 1), (3, 1), (6, 1), (7, 1)]","(0, 1, 2, 4, 7)", 3 ,3,0.0009624958038330078,4.911233186721802
8,2,"[(0, 2), (1, 2), (3, 1), (4, 1)]","(0, 1)", 5 ,5,0.0005216598510742188,0.1901547908782959
8,3,"[(0, 2), (3, 2), (4, 1), (5, 1)]","(4, 5, 6)", 6 ,6,0.0006422996520996094,0.33824634552001953
8,5,"[(1, 2), (3, 2), (4, 1), (5, 1)]","(0, 1, 2, 4, 7)", 3 ,3,0.0007767677307128906,3.0734026432037354
8,2,"[(3, 2), (4, 2), (5, 1), (7, 1)]","(0, 1)", 8 ,8,0.0005071163177490234,0.2417283058166504
8,3,"[(0, 2), (2, 1), (3, 2), (5, 1)]","(4, 5, 6)", 6 ,6,0.0006234645843505859,0.4116177558898926
8,5,"[(1, 2), (2, 1), (3, 2), (5, 1)]","(0, 1, 2, 4, 7)", 3 ,3,0.0008885860443115234,9.145430088043213
8,2,"[(2, 2), (3, 1), (4, 2), (7, 1)]","(0, 1)", 9 ,8,0.000438690185546875,0.25516605377197266
8,3,"[(0, 2), (1, 1), (3, 1), (6, 2)]","(4, 5, 6)", 6 ,6,0.0006384849548339844,0.3321681022644043
8,5,"[(0, 2), (3, 1), (4, 1), (7, 2)]","(0, 1, 2, 4, 7)", 2 ,2,0.0009036064147949219,2.148791790008545
8,2,"[(1, 2), (3, 1), (5, 1), (6, 2)]","(0, 1)", 8 ,8,0.0004658699035644531,0.23840951919555664
8,3,"[(3, 2), (5, 1), (6, 1), (7, 2)]","(4, 5, 6)", 3 ,3,0.000583648681640625,0.3739349842071533
8,5,"[(0, 2), (5, 3), (6, 1)]","(0, 1, 2, 4, 7)", 4 ,4,0.0006148815155029297,3.714432716369629
8,2,"[(2, 2), (3, 3), (7, 1)]","(0, 1)", 8 ,8,0.00037550926208496094,0.17915797233581543
8,3,"[(0, 2), (1, 2), (5, 2)]","(4, 5, 6)", 6 ,6,0.00041222572326660156,0.3290135860443115
8,5,"[(1, 2), (2, 2), (5, 2)]","(0, 1, 2, 4, 7)", 3 ,3,0.0006170272827148438,1.9559330940246582
8,2,"[(2, 2), (5, 2), (7, 2)]","(0, 1)", 9 ,9,0.0004220008850097656,0.1721031665802002
8,3,"[(0, 2), (2, 1), (5, 3)]","(4, 5, 6)", 6 ,6,0.00044417381286621094,0.37724947929382324
8,5,"[(1, 2), (3, 1), (6, 3)]","(0, 1, 2, 4, 7)", 4 ,4,0.0006852149963378906,2.142601728439331
8,2,"[(3, 2), (5, 1), (6, 3)]","(0, 1)", 8 ,8,0.0005249977111816406,0.16004705429077148
8,2,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]","(0, 1)", 7 ,7,0.0007638931274414062,0.3518810272216797
8,3,"[(0, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)]","(4, 5, 6)", 5 ,5,0.0008618831634521484,0.9064595699310303
8,5,"[(0, 1), (1, 2), (3, 1), (4, 1), (7, 1)]","(0, 1, 2, 4, 7)", 2 ,2,0.0011789798736572266,2.99539852142334
8,7,"[(0, 1), (3, 2), (4, 1), (6, 1), (7, 1)]","(0, 1, 2, 3, 4, 6, 7)", 2 ,2,0.0014872550964355469,15.199058771133423
8,3,"[(2, 1), (3, 2), (5, 1), (6, 1), (7, 1)]","(3, 4, 5)", 4 ,4,0.0006911754608154297,0.4385697841644287
8,5,"[(0, 1), (1, 1), (4, 2), (5, 1), (7, 1)]","(0, 1, 2, 3, 4)", 4 ,4,0.0010268688201904297,8.37321925163269
8,6,"[(1, 1), (2, 1), (3, 2), (4, 1), (7, 1)]","(1, 2, 3, 5, 6, 7)", 2 ,2,0.0016605854034423828,4.552839994430542
8,3,"[(0, 1), (1, 1), (2, 1), (3, 2), (6, 1)]","(2, 4, 5)", 5 ,5,0.0006794929504394531,0.6448771953582764
8,4,"[(0, 1), (2, 1), (3, 1), (4, 2), (7, 1)]","(2, 5, 6, 7)", 4 ,4,0.0009388923645019531,0.9124195575714111
