n,k,tasks,robot_locations, Partition Algorithm timespan, Optimal timespan,PA runtime, Gurobi runtime
11,2,"[(0, 3)]","(0, 1)", 3 ,3,0.00045990943908691406,0.25103330612182617
11,2,"[(0, 3)]","(0, 2)", 3 ,3,0.00029659271240234375,0.11411285400390625
11,2,"[(0, 3)]","(0, 3)", 3 ,3,0.00023627281188964844,0.11056327819824219
11,2,"[(0, 3)]","(0, 4)", 3 ,3,0.0002720355987548828,0.1304936408996582
11,2,"[(0, 3)]","(0, 5)", 3 ,3,0.0002770423889160156,0.09700775146484375
11,2,"[(0, 3)]","(0, 6)", 3 ,3,0.0002694129943847656,0.13943815231323242
11,2,"[(0, 3)]","(0, 7)", 3 ,3,0.00023508071899414062,0.10747933387756348
11,2,"[(0, 3)]","(0, 8)", 3 ,3,0.000232696533203125,0.10513448715209961
11,2,"[(0, 3)]","(0, 9)", 3 ,3,0.00031113624572753906,0.10297203063964844
11,2,"[(0, 3)]","(0, 10)", 3 ,3,0.0002830028533935547,0.0963444709777832
11,2,"[(0, 3)]","(1, 2)", 4 ,4,0.0002818107604980469,0.11710691452026367
11,2,"[(0, 3)]","(1, 3)", 4 ,4,0.0002713203430175781,0.1070561408996582
11,2,"[(0, 3)]","(1, 4)", 4 ,4,0.0002346038818359375,0.0964508056640625
11,2,"[(0, 3)]","(1, 5)", 4 ,4,0.00023603439331054688,0.10347485542297363
11,2,"[(0, 3)]","(1, 6)", 4 ,4,0.00023412704467773438,0.09902787208557129
11,2,"[(0, 3)]","(1, 7)", 4 ,4,0.00027751922607421875,0.1030428409576416
11,2,"[(0, 3)]","(1, 8)", 4 ,4,0.0002357959747314453,0.09654402732849121
11,2,"[(0, 3)]","(1, 9)", 4 ,4,0.00023412704467773438,0.09723734855651855
11,2,"[(0, 3)]","(1, 10)", 4 ,4,0.00028204917907714844,0.10817432403564453
11,2,"[(0, 3)]","(2, 3)", 5 ,5,0.0002818107604980469,0.12627625465393066
11,2,"[(0, 3)]","(2, 4)", 5 ,5,0.00023412704467773438,0.10901045799255371
11,2,"[(0, 3)]","(2, 5)", 5 ,5,0.0002841949462890625,0.09870433807373047
11,2,"[(0, 3)]","(2, 6)", 5 ,5,0.0002799034118652344,0.0964365005493164
11,2,"[(0, 3)]","(2, 7)", 5 ,5,0.0003039836883544922,0.1288454532623291
11,2,"[(0, 3)]","(2, 8)", 5 ,5,0.00025725364685058594,0.09459972381591797
11,2,"[(0, 3)]","(2, 9)", 5 ,5,0.0002455711364746094,0.09348511695861816
11,2,"[(0, 3)]","(2, 10)", 5 ,5,0.00027680397033691406,0.10399317741394043
11,2,"[(0, 3)]","(3, 4)", 6 ,6,0.0002799034118652344,0.12160253524780273
11,2,"[(0, 3)]","(3, 5)", 6 ,6,0.00027751922607421875,0.10751605033874512
11,2,"[(0, 3)]","(3, 6)", 6 ,6,0.0002353191375732422,0.10702347755432129
11,2,"[(0, 3)]","(3, 7)", 6 ,6,0.0002818107604980469,0.09680342674255371
11,2,"[(0, 3)]","(3, 8)", 6 ,6,0.00027680397033691406,0.09722161293029785
11,2,"[(0, 3)]","(3, 9)", 6 ,6,0.0002789497375488281,0.10320281982421875
11,2,"[(0, 3)]","(3, 10)", 6 ,6,0.0002818107604980469,0.09688615798950195
11,2,"[(0, 3)]","(4, 5)", 7 ,7,0.0002353191375732422,0.12543535232543945
11,2,"[(0, 3)]","(4, 6)", 7 ,7,0.0002856254577636719,0.12418842315673828
11,2,"[(0, 3)]","(4, 7)", 7 ,7,0.00023484230041503906,0.10594582557678223
11,2,"[(0, 3)]","(4, 8)", 7 ,7,0.00023698806762695312,0.10345697402954102
11,2,"[(0, 3)]","(4, 9)", 7 ,7,0.00028061866760253906,0.11222362518310547
11,2,"[(0, 3)]","(4, 10)", 7 ,7,0.00028324127197265625,0.115936279296875
11,2,"[(0, 3)]","(5, 6)", 8 ,8,0.00023484230041503906,0.1440424919128418
11,2,"[(0, 3)]","(5, 7)", 8 ,8,0.0002846717834472656,0.09598255157470703
11,2,"[(0, 3)]","(5, 8)", 8 ,8,0.0002810955047607422,0.10951614379882812
11,2,"[(0, 3)]","(5, 9)", 8 ,8,0.0002357959747314453,0.10215544700622559
11,2,"[(0, 3)]","(5, 10)", 8 ,8,0.0002799034118652344,0.10443925857543945
11,2,"[(0, 3)]","(6, 7)", 9 ,9,0.0002830028533935547,0.11965346336364746
11,2,"[(0, 3)]","(6, 8)", 9 ,9,0.0002808570861816406,0.10675358772277832
11,2,"[(0, 3)]","(6, 9)", 9 ,9,0.0002791881561279297,0.10754609107971191
11,2,"[(0, 3)]","(6, 10)", 9 ,9,0.0003578662872314453,0.12397241592407227
11,2,"[(0, 3)]","(7, 8)", 10 ,10,0.00029087066650390625,0.12655282020568848
11,2,"[(0, 3)]","(7, 9)", 10 ,10,0.0003113746643066406,0.11507725715637207
11,2,"[(0, 3)]","(7, 10)", 10 ,10,0.0003025531768798828,0.15384197235107422
11,2,"[(0, 3)]","(8, 9)", 11 ,11,0.00034928321838378906,0.16159510612487793
11,2,"[(0, 3)]","(8, 10)", 11 ,11,0.00030922889709472656,0.19504022598266602
11,2,"[(0, 3)]","(9, 10)", 12 ,12,0.0007016658782958984,0.16243839263916016
11,3,"[(0, 3)]","(0, 1, 2)", 3 ,3,0.0003752708435058594,0.4294869899749756
11,3,"[(0, 3)]","(0, 1, 3)", 3 ,3,0.00030350685119628906,0.26985931396484375
11,3,"[(0, 3)]","(0, 1, 4)", 3 ,3,0.00028252601623535156,0.3232088088989258
11,3,"[(0, 3)]","(0, 1, 5)", 3 ,3,0.00029468536376953125,0.28333139419555664
11,3,"[(0, 3)]","(0, 1, 6)", 3 ,3,0.0003578662872314453,0.2967379093170166
11,3,"[(0, 3)]","(0, 1, 7)", 3 ,3,0.0006804466247558594,0.2595829963684082
11,3,"[(0, 3)]","(0, 1, 8)", 3 ,3,0.0002956390380859375,0.2666327953338623
11,3,"[(0, 3)]","(0, 1, 9)", 3 ,3,0.0002582073211669922,0.23369574546813965
11,3,"[(0, 3)]","(0, 1, 10)", 3 ,3,0.0003032684326171875,0.2759082317352295
11,3,"[(0, 3)]","(0, 2, 3)", 3 ,3,0.0002560615539550781,0.28087449073791504
11,3,"[(0, 3)]","(0, 2, 4)", 3 ,3,0.0002570152282714844,0.2248680591583252
11,3,"[(0, 3)]","(0, 2, 5)", 3 ,3,0.0003039836883544922,0.22220826148986816
11,3,"[(0, 3)]","(0, 2, 6)", 3 ,3,0.00030517578125,0.25017666816711426
11,3,"[(0, 3)]","(0, 2, 7)", 3 ,3,0.0003070831298828125,0.22248530387878418
11,3,"[(0, 3)]","(0, 2, 8)", 3 ,3,0.00030493736267089844,0.22116589546203613
