n,k,tasks,robot_locations, Partition Algorithm timespan, Optimal timespan,PA runtime, Gurobi runtime
13,2,"[(0, 3)]","(0, 1)", 3 ,3,0.00037479400634765625,0.18006038665771484
13,2,"[(0, 3)]","(5, 6)", 8 ,8,0.0002875328063964844,0.19335389137268066
13,3,"[(0, 3)]","(0, 3, 5)", 3 ,3,0.00035953521728515625,0.30919742584228516
13,3,"[(0, 3)]","(1, 2, 9)", 4 ,4,0.00030303001403808594,0.31287050247192383
13,3,"[(0, 3)]","(2, 3, 5)", 5 ,5,0.00031495094299316406,0.4918208122253418
13,3,"[(0, 3)]","(3, 4, 11)", 6 ,6,0.0002551078796386719,0.6215083599090576
13,3,"[(0, 3)]","(4, 8, 11)", 7 ,7,0.0002560615539550781,0.5279874801635742
13,3,"[(0, 3)]","(7, 9, 12)", 10 ,10,0.000255584716796875,0.6302056312561035
13,4,"[(0, 3)]","(0, 1, 6, 9)", 3 ,3,0.0003120899200439453,0.6244723796844482
13,4,"[(0, 3)]","(0, 2, 7, 9)", 3 ,3,0.0002779960632324219,0.626272439956665
13,4,"[(0, 3)]","(0, 4, 5, 6)", 3 ,3,0.00028228759765625,0.591475248336792
13,4,"[(0, 3)]","(0, 6, 7, 9)", 3 ,3,0.0003039836883544922,0.5834803581237793
13,4,"[(0, 3)]","(1, 2, 4, 12)", 4 ,4,0.0002772808074951172,0.621422529220581
13,4,"[(0, 3)]","(1, 3, 7, 8)", 4 ,4,0.00028228759765625,0.582817554473877
13,4,"[(0, 3)]","(1, 5, 7, 9)", 4 ,4,0.0002741813659667969,0.5661697387695312
13,4,"[(0, 3)]","(2, 3, 4, 6)", 5 ,5,0.0002818107604980469,1.3586394786834717
13,4,"[(0, 3)]","(2, 4, 7, 10)", 5 ,5,0.000274658203125,1.503638505935669
13,4,"[(0, 3)]","(2, 7, 8, 10)", 5 ,5,0.0002765655517578125,1.654343843460083
13,4,"[(0, 3)]","(3, 5, 6, 10)", 6 ,6,0.00027489662170410156,1.3844363689422607
13,4,"[(0, 3)]","(3, 9, 10, 12)", 6 ,6,0.00027298927307128906,1.2445135116577148
13,4,"[(0, 3)]","(4, 8, 9, 11)", 7 ,7,0.00031304359436035156,1.2101471424102783
13,4,"[(0, 3)]","(6, 7, 9, 12)", 9 ,9,0.0002865791320800781,1.508195400238037
13,5,"[(0, 3)]","(0, 1, 2, 5, 10)", 3 ,3,0.0003535747528076172,1.1134345531463623
13,5,"[(0, 3)]","(0, 1, 3, 8, 9)", 3 ,3,0.0003376007080078125,1.106520414352417
13,5,"[(0, 3)]","(0, 1, 5, 8, 10)", 3 ,3,0.0004062652587890625,1.0826754570007324
13,5,"[(0, 3)]","(0, 2, 3, 4, 11)", 3 ,3,0.0003457069396972656,1.092362642288208
13,5,"[(0, 3)]","(0, 2, 4, 8, 11)", 3 ,3,0.00029087066650390625,1.109025239944458
13,5,"[(0, 3)]","(0, 2, 7, 9, 12)", 3 ,3,0.00034117698669433594,1.0440971851348877
13,5,"[(0, 3)]","(0, 3, 5, 7, 10)", 3 ,3,0.0003342628479003906,1.0249416828155518
13,5,"[(0, 3)]","(0, 4, 5, 6, 9)", 3 ,3,0.0003364086151123047,1.0860929489135742
13,5,"[(0, 3)]","(0, 4, 9, 10, 11)", 3 ,3,0.0003561973571777344,1.0861330032348633
13,5,"[(0, 3)]","(0, 6, 8, 9, 11)", 3 ,3,0.0011997222900390625,1.0695092678070068
13,5,"[(0, 3)]","(1, 2, 3, 8, 9)", 4 ,4,0.00029158592224121094,1.116511344909668
13,5,"[(0, 3)]","(1, 2, 5, 8, 10)", 4 ,4,0.0003464221954345703,1.0540237426757812
13,5,"[(0, 3)]","(1, 3, 4, 5, 12)", 4 ,4,0.00033855438232421875,1.084923505783081
13,5,"[(0, 3)]","(1, 3, 6, 8, 11)", 4 ,4,0.0003437995910644531,1.039383888244629
13,5,"[(0, 3)]","(1, 4, 6, 7, 9)", 4 ,4,0.0002987384796142578,1.055591344833374
13,5,"[(0, 3)]","(1, 5, 7, 8, 10)", 4 ,4,0.0003006458282470703,1.0508792400360107
13,5,"[(0, 3)]","(1, 8, 9, 10, 12)", 4 ,4,0.0002970695495605469,1.0862672328948975
13,5,"[(0, 3)]","(2, 3, 5, 10, 11)", 5 ,5,0.0003387928009033203,3.193995475769043
13,5,"[(0, 3)]","(2, 4, 5, 8, 10)", 5 ,5,0.0003352165222167969,4.10915470123291
13,5,"[(0, 3)]","(2, 5, 6, 8, 10)", 5 ,5,0.0003991127014160156,3.398341655731201
13,5,"[(0, 3)]","(2, 7, 8, 9, 11)", 5 ,5,0.0002942085266113281,5.060214042663574
13,5,"[(0, 3)]","(3, 4, 7, 8, 9)", 6 ,6,0.0003371238708496094,4.623914480209351
13,5,"[(0, 3)]","(3, 5, 8, 11, 12)", 6 ,6,0.0003483295440673828,3.186415910720825
13,5,"[(0, 3)]","(4, 5, 6, 9, 11)", 7 ,7,0.00032711029052734375,4.502910137176514
13,5,"[(0, 3)]","(4, 7, 8, 11, 12)", 7 ,7,0.0002930164337158203,4.169432878494263
13,5,"[(0, 3)]","(6, 7, 8, 11, 12)", 9 ,9,0.0002980232238769531,6.611829519271851
13,6,"[(0, 3)]","(0, 1, 2, 3, 10, 12)", 3 ,3,0.00031280517578125,1.995112657546997
13,6,"[(0, 3)]","(0, 1, 2, 5, 11, 12)", 3 ,3,0.0003597736358642578,1.8930869102478027
13,6,"[(0, 3)]","(0, 1, 3, 4, 7, 9)", 3 ,3,0.0003371238708496094,1.8862810134887695
13,6,"[(0, 3)]","(0, 1, 3, 7, 8, 9)", 3 ,3,0.0003123283386230469,1.9121456146240234
