n,k,tasks,robot_locations, Partition Algorithm timespan, Optimal timespan,PA runtime, Gurobi runtime
10,2,"[(0, 3)]","(0, 1)", 3 ,3,0.0013167858123779297,0.2572968006134033
10,2,"[(0, 3)]","(0, 2)", 3 ,3,0.0005316734313964844,0.2192249298095703
10,2,"[(0, 3)]","(0, 3)", 3 ,3,0.0007722377777099609,0.23989129066467285
10,2,"[(0, 3)]","(0, 4)", 3 ,3,0.0005357265472412109,0.22178339958190918
10,2,"[(0, 3)]","(0, 5)", 3 ,3,0.0006718635559082031,0.24787425994873047
10,2,"[(0, 3)]","(0, 6)", 3 ,3,0.0004794597625732422,0.19044065475463867
10,2,"[(0, 3)]","(0, 7)", 3 ,3,0.0004878044128417969,0.2080998420715332
10,2,"[(0, 3)]","(0, 8)", 3 ,3,0.0005629062652587891,0.20066046714782715
10,2,"[(0, 3)]","(0, 9)", 3 ,3,0.0005357265472412109,0.18230199813842773
10,2,"[(0, 3)]","(1, 2)", 4 ,4,0.0006015300750732422,0.20664429664611816
10,2,"[(0, 3)]","(1, 3)", 4 ,4,0.0007162094116210938,0.17960381507873535
10,2,"[(0, 3)]","(1, 4)", 4 ,4,0.0007684230804443359,0.14371061325073242
10,2,"[(0, 3)]","(1, 5)", 4 ,4,0.0006396770477294922,0.17697429656982422
10,2,"[(0, 3)]","(1, 6)", 4 ,4,0.0007281303405761719,0.18245673179626465
10,2,"[(0, 3)]","(1, 7)", 4 ,4,0.0007178783416748047,0.17190217971801758
10,2,"[(0, 3)]","(1, 8)", 4 ,4,0.0004992485046386719,0.2773091793060303
10,2,"[(0, 3)]","(1, 9)", 4 ,4,0.000713348388671875,0.23773717880249023
10,2,"[(0, 3)]","(2, 3)", 5 ,5,0.000598907470703125,0.2385246753692627
10,2,"[(0, 3)]","(2, 4)", 5 ,5,0.0006465911865234375,0.18422937393188477
10,2,"[(0, 3)]","(2, 5)", 5 ,5,0.0005521774291992188,0.17510628700256348
10,2,"[(0, 3)]","(2, 6)", 5 ,5,0.0005481243133544922,0.2107253074645996
10,2,"[(0, 3)]","(2, 7)", 5 ,5,0.0006399154663085938,0.18743467330932617
10,2,"[(0, 3)]","(2, 8)", 5 ,5,0.0005726814270019531,0.19584393501281738
10,2,"[(0, 3)]","(2, 9)", 5 ,5,0.0005660057067871094,0.20845746994018555
10,2,"[(0, 3)]","(3, 4)", 6 ,6,0.00043463706970214844,0.2375326156616211
10,2,"[(0, 3)]","(3, 5)", 6 ,6,0.0006256103515625,0.17775583267211914
10,2,"[(0, 3)]","(3, 6)", 6 ,6,0.00043582916259765625,0.18091845512390137
10,2,"[(0, 3)]","(3, 7)", 6 ,6,0.0004887580871582031,0.1717510223388672
10,2,"[(0, 3)]","(3, 8)", 6 ,6,0.0005636215209960938,0.19626307487487793
10,2,"[(0, 3)]","(3, 9)", 6 ,6,0.0005393028259277344,0.2144145965576172
10,2,"[(0, 3)]","(4, 5)", 7 ,7,0.0005669593811035156,0.2638258934020996
10,2,"[(0, 3)]","(4, 6)", 7 ,7,0.0005559921264648438,0.18613004684448242
10,2,"[(0, 3)]","(4, 7)", 7 ,7,0.0006837844848632812,0.1926867961883545
10,2,"[(0, 3)]","(4, 8)", 7 ,7,0.0007190704345703125,0.20127534866333008
10,2,"[(0, 3)]","(4, 9)", 7 ,7,0.0003788471221923828,0.1532433032989502
10,2,"[(0, 3)]","(5, 6)", 8 ,8,0.00031876564025878906,0.15587210655212402
10,2,"[(0, 3)]","(5, 7)", 8 ,8,0.0006093978881835938,0.13344955444335938
10,2,"[(0, 3)]","(5, 8)", 8 ,8,0.0007312297821044922,0.1320180892944336
10,2,"[(0, 3)]","(5, 9)", 8 ,8,0.0005509853363037109,0.24798321723937988
10,2,"[(0, 3)]","(6, 7)", 9 ,9,0.0006237030029296875,0.20521974563598633
10,2,"[(0, 3)]","(6, 8)", 9 ,9,0.0003421306610107422,0.13687443733215332
10,2,"[(0, 3)]","(6, 9)", 9 ,9,0.0003643035888671875,0.13347864151000977
10,2,"[(0, 3)]","(7, 8)", 10 ,10,0.0005764961242675781,0.23260283470153809
10,2,"[(0, 3)]","(7, 9)", 10 ,10,0.0005428791046142578,0.22280454635620117
10,2,"[(0, 3)]","(8, 9)", 11 ,11,0.0005662441253662109,0.21879100799560547
10,3,"[(0, 3)]","(0, 1, 2)", 3 ,3,0.0005383491516113281,0.4680178165435791
10,3,"[(0, 3)]","(0, 1, 3)", 3 ,3,0.00031185150146484375,0.402437686920166
10,3,"[(0, 3)]","(0, 1, 4)", 3 ,3,0.0008268356323242188,0.5103840827941895
10,3,"[(0, 3)]","(0, 1, 5)", 3 ,3,0.0004100799560546875,0.29781246185302734
10,3,"[(0, 3)]","(0, 1, 6)", 3 ,3,0.0004589557647705078,0.46511030197143555
10,3,"[(0, 3)]","(0, 1, 7)", 3 ,3,0.0006241798400878906,0.5541739463806152
10,3,"[(0, 3)]","(0, 1, 8)", 3 ,3,0.0006680488586425781,0.666886568069458
10,3,"[(0, 3)]","(0, 1, 9)", 3 ,3,0.0006604194641113281,0.6949751377105713
10,3,"[(0, 3)]","(0, 2, 3)", 3 ,3,0.0006473064422607422,0.722001314163208
10,3,"[(0, 3)]","(0, 2, 4)", 3 ,3,0.0005662441253662109,0.4411807060241699
10,3,"[(0, 3)]","(0, 2, 5)", 3 ,3,0.0007905960083007812,0.4382810592651367
10,3,"[(0, 3)]","(0, 2, 6)", 3 ,3,0.0006103515625,0.45308375358581543
10,3,"[(0, 3)]","(0, 2, 7)", 3 ,3,0.0006978511810302734,0.4206714630126953
