n,k,tasks,robot_locations, Partition Algorithm timespan, Optimal timespan,PA runtime, Gurobi runtime
9,2,"[(0, 3)]","(0, 1)", 3 ,3,0.00037932395935058594,0.14059877395629883
9,2,"[(0, 3)]","(0, 2)", 3 ,3,0.00025916099548339844,0.09306812286376953
9,2,"[(0, 3)]","(0, 3)", 3 ,3,0.00023508071899414062,0.1025855541229248
9,2,"[(0, 3)]","(0, 4)", 3 ,3,0.00023174285888671875,0.0842134952545166
9,2,"[(0, 3)]","(0, 5)", 3 ,3,0.00023412704467773438,0.07423758506774902
9,2,"[(0, 3)]","(0, 6)", 3 ,3,0.0002319812774658203,0.08082771301269531
9,2,"[(0, 3)]","(0, 7)", 3 ,3,0.00025200843811035156,0.09893441200256348
9,2,"[(0, 3)]","(0, 8)", 3 ,3,0.00028252601623535156,0.09163379669189453
9,2,"[(0, 3)]","(1, 2)", 4 ,4,0.00023984909057617188,0.11504960060119629
9,2,"[(0, 3)]","(1, 3)", 4 ,4,0.00031304359436035156,0.07828259468078613
9,2,"[(0, 3)]","(1, 4)", 4 ,4,0.0002334117889404297,0.11222577095031738
9,2,"[(0, 3)]","(1, 5)", 4 ,4,0.0002346038818359375,0.0779561996459961
9,2,"[(0, 3)]","(1, 6)", 4 ,4,0.00024271011352539062,0.07773661613464355
9,2,"[(0, 3)]","(1, 7)", 4 ,4,0.00023937225341796875,0.10308980941772461
9,2,"[(0, 3)]","(1, 8)", 4 ,4,0.00023221969604492188,0.09093499183654785
9,2,"[(0, 3)]","(2, 3)", 5 ,5,0.0002334117889404297,0.09081459045410156
9,2,"[(0, 3)]","(2, 4)", 5 ,5,0.00023174285888671875,0.09894585609436035
9,2,"[(0, 3)]","(2, 5)", 5 ,5,0.00032401084899902344,0.10602664947509766
9,2,"[(0, 3)]","(2, 6)", 5 ,5,0.00032019615173339844,0.13007307052612305
9,2,"[(0, 3)]","(2, 7)", 5 ,5,0.00026679039001464844,0.07601332664489746
9,2,"[(0, 3)]","(2, 8)", 5 ,5,0.00026106834411621094,0.09169745445251465
9,2,"[(0, 3)]","(3, 4)", 6 ,6,0.00023698806762695312,0.10815858840942383
9,2,"[(0, 3)]","(3, 5)", 6 ,6,0.0002453327178955078,0.10322332382202148
9,2,"[(0, 3)]","(3, 6)", 6 ,6,0.00023436546325683594,0.0757439136505127
9,2,"[(0, 3)]","(3, 7)", 6 ,6,0.00022149085998535156,0.12475109100341797
9,2,"[(0, 3)]","(3, 8)", 6 ,6,0.0004971027374267578,0.07793474197387695
9,2,"[(0, 3)]","(4, 5)", 7 ,7,0.00023412704467773438,0.11791539192199707
9,2,"[(0, 3)]","(4, 6)", 7 ,7,0.000232696533203125,0.08926987648010254
9,2,"[(0, 3)]","(4, 7)", 7 ,7,0.0002963542938232422,0.13806366920471191
9,2,"[(0, 3)]","(4, 8)", 7 ,7,0.0004963874816894531,0.10089588165283203
9,2,"[(0, 3)]","(5, 6)", 8 ,8,0.00027871131896972656,0.08717179298400879
9,2,"[(0, 3)]","(5, 7)", 8 ,8,0.00023293495178222656,0.09354209899902344
9,2,"[(0, 3)]","(5, 8)", 8 ,8,0.00023937225341796875,0.11830830574035645
9,2,"[(0, 3)]","(6, 7)", 9 ,9,0.0002357959747314453,0.09655451774597168
9,2,"[(0, 3)]","(6, 8)", 9 ,9,0.0002994537353515625,0.1363663673400879
9,2,"[(0, 3)]","(7, 8)", 10 ,10,0.0002338886260986328,0.10316300392150879
9,3,"[(0, 3)]","(0, 1, 2)", 3 ,3,0.0002675056457519531,0.2862203121185303
9,3,"[(0, 3)]","(0, 1, 3)", 3 ,3,0.00025844573974609375,0.25992488861083984
9,3,"[(0, 3)]","(0, 1, 4)", 3 ,3,0.00035762786865234375,0.2933616638183594
9,3,"[(0, 3)]","(0, 1, 5)", 3 ,3,0.0002605915069580078,0.21175408363342285
9,3,"[(0, 3)]","(0, 1, 6)", 3 ,3,0.00031638145446777344,0.18311262130737305
9,3,"[(0, 3)]","(0, 1, 7)", 3 ,3,0.0003173351287841797,0.18964314460754395
9,3,"[(0, 3)]","(0, 1, 8)", 3 ,3,0.00026607513427734375,0.28696131706237793
9,3,"[(0, 3)]","(0, 2, 3)", 3 ,3,0.0003097057342529297,0.28032708168029785
9,3,"[(0, 3)]","(0, 2, 4)", 3 ,3,0.0003066062927246094,0.21622514724731445
9,3,"[(0, 3)]","(0, 2, 5)", 3 ,3,0.00025725364685058594,0.18674874305725098
9,3,"[(0, 3)]","(0, 2, 6)", 3 ,3,0.0002956390380859375,0.25595545768737793
9,3,"[(0, 3)]","(0, 2, 7)", 3 ,3,0.0002560615539550781,0.20569801330566406
9,3,"[(0, 3)]","(0, 2, 8)", 3 ,3,0.000308990478515625,0.16118907928466797
9,3,"[(0, 3)]","(0, 3, 4)", 3 ,3,0.00024771690368652344,0.24768304824829102
9,3,"[(0, 3)]","(0, 3, 5)", 3 ,3,0.00026226043701171875,0.25414395332336426
9,3,"[(0, 3)]","(0, 3, 6)", 3 ,3,0.00033736228942871094,0.15623736381530762
9,3,"[(0, 3)]","(0, 3, 7)", 3 ,3,0.00025725364685058594,0.2366635799407959
9,3,"[(0, 3)]","(0, 3, 8)", 3 ,3,0.0002789497375488281,0.2596423625946045
9,3,"[(0, 3)]","(0, 4, 5)", 3 ,3,0.0003075599670410156,0.24924302101135254
9,3,"[(0, 3)]","(0, 4, 6)", 3 ,3,0.00030803680419921875,0.2477729320526123
9,3,"[(0, 3)]","(0, 4, 7)", 3 ,3,0.00025844573974609375,0.24513483047485352
9,3,"[(0, 3)]","(0, 4, 8)", 3 ,3,0.0002570152282714844,0.264251708984375
9,3,"[(0, 3)]","(0, 5, 6)", 3 ,3,0.0002579689025878906,0.25220727920532227
9,3,"[(0, 3)]","(0, 5, 7)", 3 ,3,0.0002582073211669922,0.2306809425354004
9,3,"[(0, 3)]","(0, 5, 8)", 3 ,3,0.00031638145446777344,0.22395586967468262
9,3,"[(0, 3)]","(0, 6, 7)", 3 ,3,0.0002562999725341797,0.24420380592346191
9,3,"[(0, 3)]","(0, 6, 8)", 3 ,3,0.0003001689910888672,0.24403929710388184
9,3,"[(0, 3)]","(0, 7, 8)", 3 ,3,0.0002665519714355469,0.3014357089996338
9,3,"[(0, 3)]","(1, 2, 3)", 4 ,4,0.0002658367156982422,0.32964277267456055
9,3,"[(0, 3)]","(1, 2, 4)", 4 ,4,0.0002529621124267578,0.26310276985168457
9,3,"[(0, 3)]","(1, 2, 5)", 4 ,4,0.0002601146697998047,0.24279046058654785
9,3,"[(0, 3)]","(1, 2, 6)", 4 ,4,0.0002605915069580078,0.28496289253234863
9,3,"[(0, 3)]","(1, 2, 7)", 4 ,4,0.00025463104248046875,0.26893067359924316
9,3,"[(0, 3)]","(1, 2, 8)", 4 ,4,0.0002498626708984375,0.26392364501953125
9,3,"[(0, 3)]","(1, 3, 4)", 4 ,4,0.0002598762512207031,0.2621278762817383
9,3,"[(0, 3)]","(1, 3, 5)", 4 ,4,0.0004792213439941406,0.19025254249572754
9,3,"[(0, 3)]","(1, 3, 6)", 4 ,4,0.00029468536376953125,0.1883862018585205
9,3,"[(0, 3)]","(1, 3, 7)", 4 ,4,0.0002548694610595703,0.18659400939941406
9,3,"[(0, 3)]","(1, 3, 8)", 4 ,4,0.0003161430358886719,0.2311406135559082
9,3,"[(0, 3)]","(1, 4, 5)", 4 ,4,0.0003807544708251953,0.32248568534851074
9,3,"[(0, 3)]","(1, 4, 6)", 4 ,4,0.00031185150146484375,0.1620931625366211
9,3,"[(0, 3)]","(1, 4, 7)", 4 ,4,0.0002560615539550781,0.18943095207214355
9,3,"[(0, 3)]","(1, 4, 8)", 4 ,4,0.0002841949462890625,0.23090219497680664
9,3,"[(0, 3)]","(1, 5, 6)", 4 ,4,0.0003063678741455078,0.27425217628479004
9,3,"[(0, 3)]","(1, 5, 7)", 4 ,4,0.0003032684326171875,0.15410900115966797
9,3,"[(0, 3)]","(1, 5, 8)", 4 ,4,0.0003056526184082031,0.3714113235473633
9,3,"[(0, 3)]","(1, 6, 7)", 4 ,4,0.00030875205993652344,0.2634150981903076
9,3,"[(0, 3)]","(1, 6, 8)", 4 ,4,0.00025582313537597656,0.22884178161621094
9,3,"[(0, 3)]","(1, 7, 8)", 4 ,4,0.00030541419982910156,0.2741835117340088
9,3,"[(0, 3)]","(2, 3, 4)", 5 ,5,0.0003135204315185547,0.30728650093078613
9,3,"[(0, 3)]","(2, 3, 5)", 5 ,5,0.0003333091735839844,0.2952921390533447
9,3,"[(0, 3)]","(2, 3, 6)", 5 ,5,0.00028514862060546875,0.32224392890930176
9,3,"[(0, 3)]","(2, 3, 7)", 5 ,5,0.0003185272216796875,0.31116151809692383
9,3,"[(0, 3)]","(2, 3, 8)", 5 ,5,0.0002562999725341797,0.29610514640808105
9,3,"[(0, 3)]","(2, 4, 5)", 5 ,5,0.0003097057342529297,0.28084230422973633
9,3,"[(0, 3)]","(2, 4, 6)", 5 ,5,0.0003077983856201172,0.26250195503234863
9,3,"[(0, 3)]","(2, 4, 7)", 5 ,5,0.0003077983856201172,0.2837543487548828
9,3,"[(0, 3)]","(2, 4, 8)", 5 ,5,0.0002963542938232422,0.300037145614624
9,3,"[(0, 3)]","(2, 5, 6)", 5 ,5,0.0003120899200439453,0.2983105182647705
9,3,"[(0, 3)]","(2, 5, 7)", 5 ,5,0.00030875205993652344,0.27077412605285645
9,3,"[(0, 3)]","(2, 5, 8)", 5 ,5,0.0002613067626953125,0.26598215103149414
9,3,"[(0, 3)]","(2, 6, 7)", 5 ,5,0.0002636909484863281,0.27625250816345215
9,3,"[(0, 3)]","(2, 6, 8)", 5 ,5,0.00032806396484375,0.24838495254516602
9,3,"[(0, 3)]","(2, 7, 8)", 5 ,5,0.0002810955047607422,0.2631642818450928
9,3,"[(0, 3)]","(3, 4, 5)", 6 ,6,0.000331878662109375,0.28923463821411133
9,3,"[(0, 3)]","(3, 4, 6)", 6 ,6,0.000308990478515625,0.32562899589538574
9,3,"[(0, 3)]","(3, 4, 7)", 6 ,6,0.0003123283386230469,0.28936195373535156
9,3,"[(0, 3)]","(3, 4, 8)", 6 ,6,0.00026416778564453125,0.30834412574768066
9,3,"[(0, 3)]","(3, 5, 6)", 6 ,6,0.0002644062042236328,0.3022725582122803
9,3,"[(0, 3)]","(3, 5, 7)", 6 ,6,0.0002560615539550781,0.2948923110961914
9,3,"[(0, 3)]","(3, 5, 8)", 6 ,6,0.0003345012664794922,0.25589609146118164
9,3,"[(0, 3)]","(3, 6, 7)", 6 ,6,0.000255584716796875,0.2824740409851074
9,3,"[(0, 3)]","(3, 6, 8)", 6 ,6,0.0003075599670410156,0.21130752563476562
9,3,"[(0, 3)]","(3, 7, 8)", 6 ,6,0.0002620220184326172,0.2329554557800293
9,3,"[(0, 3)]","(4, 5, 6)", 7 ,7,0.00026416778564453125,0.2676503658294678
9,3,"[(0, 3)]","(4, 5, 7)", 7 ,7,0.0002779960632324219,0.32260870933532715
9,3,"[(0, 3)]","(4, 5, 8)", 7 ,7,0.0003707408905029297,0.25878047943115234
9,3,"[(0, 3)]","(4, 6, 7)", 7 ,7,0.000308990478515625,0.26145410537719727
9,3,"[(0, 3)]","(4, 6, 8)", 7 ,7,0.00026106834411621094,0.21880340576171875
9,3,"[(0, 3)]","(4, 7, 8)", 7 ,7,0.0002963542938232422,0.26395750045776367
9,3,"[(0, 3)]","(5, 6, 7)", 8 ,8,0.00030803680419921875,0.34180569648742676
9,3,"[(0, 3)]","(5, 6, 8)", 8 ,8,0.0003063678741455078,0.29114747047424316
9,3,"[(0, 3)]","(5, 7, 8)", 8 ,8,0.0003032684326171875,0.2639632225036621
9,3,"[(0, 3)]","(6, 7, 8)", 9 ,9,0.00030875205993652344,0.3286001682281494
9,4,"[(0, 3)]","(0, 1, 2, 3)", 3 ,3,0.0003306865692138672,0.5725855827331543
9,4,"[(0, 3)]","(0, 1, 2, 4)", 3 ,3,0.00044918060302734375,0.5715427398681641
9,4,"[(0, 3)]","(0, 1, 2, 5)", 3 ,3,0.0002765655517578125,0.6211464405059814
9,4,"[(0, 3)]","(0, 1, 2, 6)", 3 ,3,0.0002789497375488281,0.6198039054870605
9,4,"[(0, 3)]","(0, 1, 2, 7)", 3 ,3,0.00027680397033691406,0.6663522720336914
9,4,"[(0, 3)]","(0, 1, 2, 8)", 3 ,3,0.0002760887145996094,0.5631368160247803
9,4,"[(0, 3)]","(0, 1, 3, 4)", 3 ,3,0.0002789497375488281,0.7956945896148682
9,4,"[(0, 3)]","(0, 1, 3, 5)", 3 ,3,0.0002987384796142578,0.3572239875793457
9,4,"[(0, 3)]","(0, 1, 3, 6)", 3 ,3,0.000293731689453125,0.39377593994140625
9,4,"[(0, 3)]","(0, 1, 3, 7)", 3 ,3,0.00027561187744140625,0.3688478469848633
9,4,"[(0, 3)]","(0, 1, 3, 8)", 3 ,3,0.0003285408020019531,0.33095669746398926
9,4,"[(0, 3)]","(0, 1, 4, 5)", 3 ,3,0.00028967857360839844,0.7064082622528076
9,4,"[(0, 3)]","(0, 1, 4, 6)", 3 ,3,0.0003299713134765625,0.3655717372894287
9,4,"[(0, 3)]","(0, 1, 4, 7)", 3 ,3,0.0004184246063232422,0.36321449279785156
9,4,"[(0, 3)]","(0, 1, 4, 8)", 3 ,3,0.0002722740173339844,0.3266730308532715
9,4,"[(0, 3)]","(0, 1, 5, 6)", 3 ,3,0.00028133392333984375,0.5306882858276367
9,4,"[(0, 3)]","(0, 1, 5, 7)", 3 ,3,0.000278472900390625,0.35712337493896484
9,4,"[(0, 3)]","(0, 1, 5, 8)", 3 ,3,0.0003256797790527344,0.3218803405761719
9,4,"[(0, 3)]","(0, 1, 6, 7)", 3 ,3,0.0002765655517578125,0.5640182495117188
9,4,"[(0, 3)]","(0, 1, 6, 8)", 3 ,3,0.00028514862060546875,0.34653234481811523
9,4,"[(0, 3)]","(0, 1, 7, 8)", 3 ,3,0.00028061866760253906,0.5317561626434326
9,4,"[(0, 3)]","(0, 2, 3, 4)", 3 ,3,0.00028061866760253906,0.6389908790588379
9,4,"[(0, 3)]","(0, 2, 3, 5)", 3 ,3,0.0002777576446533203,0.3565390110015869
9,4,"[(0, 3)]","(0, 2, 3, 6)", 3 ,3,0.0005025863647460938,0.36115336418151855
